timestamp,open,high,low,close,volume
2026-02-20 00:00:00,1949.08,1981.18,1922.97,1968.88,386253.5557
2026-02-21 00:00:00,1968.88,1995.56,1955.62,1973.35,179173.8456
2026-02-22 00:00:00,1973.35,1983.13,1935.0,1957.82,155325.6482
2026-02-23 00:00:00,1957.82,1958.33,1837.13,1856.3,547359.4869
2026-02-24 00:00:00,1856.3,1869.58,1800.0,1851.94,438064.0284
2026-02-25 00:00:00,1851.95,2148.39,1846.74,2057.48,682979.4378
2026-02-26 00:00:00,2057.48,2083.33,1975.35,2027.68,439783.3566
2026-02-27 00:00:00,2027.68,2063.52,1887.0,1929.84,428687.234
2026-02-28 00:00:00,1929.84,1984.99,1835.36,1964.51,461680.9835
2026-03-01 00:00:00,1964.51,2054.8,1907.41,1939.71,529196.8464
2026-03-02 00:00:00,1939.71,2090.0,1920.0,2027.35,577406.3749
2026-03-03 00:00:00,2027.34,2041.48,1929.56,1982.8,509329.8534
2026-03-04 00:00:00,1982.81,2199.0,1945.08,2127.28,737644.8152
2026-03-05 00:00:00,2127.28,2163.66,2054.75,2072.86,432157.8126
2026-03-06 00:00:00,2072.86,2093.33,1955.95,1978.68,411597.7569
2026-03-07 00:00:00,1978.68,1996.04,1948.09,1969.59,184459.82
2026-03-08 00:00:00,1969.6,1979.8,1916.14,1937.1,391189.7317
2026-03-09 00:00:00,1937.11,2053.52,1929.65,1992.98,550825.4883
2026-03-10 00:00:00,1992.97,2088.19,1991.0,2036.51,463411.8739
2026-03-11 00:00:00,2036.5,2085.58,2007.17,2051.97,350061.256
2026-03-12 00:00:00,2051.97,2095.0,2017.59,2073.52,400507.8132
2026-03-13 00:00:00,2073.51,2209.03,2070.12,2092.22,599657.0399
2026-03-14 00:00:00,2092.21,2106.09,2061.6,2096.16,152500.5822
2026-03-15 00:00:00,2096.16,2202.87,2083.35,2178.3,280825.9377
2026-03-16 00:00:00,2178.29,2386.02,2164.73,2352.97,845892.7756
2026-03-17 00:00:00,2352.97,2376.66,2294.15,2317.39,493831.1016
2026-03-18 00:00:00,2317.38,2350.0,2153.21,2203.39,488040.8887
2026-03-19 00:00:00,2203.39,2233.72,2099.38,2137.81,490791.679
2026-03-20 00:00:00,2137.82,2176.84,2116.88,2146.22,300156.1778
2026-03-21 00:00:00,2146.21,2161.34,2144.24,2154.48,41408.9871
